https://docs.google.com/spreadsheets/d/10kBMisQ6dNcBLNO0GuD85w1eL1BUm8tKaAb9gl8-38M/edit?gid=963706410#gid=963706410,,,,,,,20-Aug-2026,,1-May-2026,WEEK-1,,7-May-2026,8-May-2025,WEEK-2,,14-May-2026,15-May-2026,WEEK-3,,21-May-2026,22-May-2026,WEEK-4,,31-May-2025
FITTING,CH80,#REF!,62,0,0,0,62,,32,,,,30,,,,0,,,,0,,,
FITTING,C608,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,C108,#REF!,48,0,0,0,48,,24,,,,24,,,,0,,,,0,,,
FITTING,C38,#REF!,4,0,0,0,4,,4,,,,0,,,,0,,,,0,,,
FITTING,C37,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
PIPE,PS-1,#REF!,206,0,0,0,206,,103,,,,103,,,,0,,,,0,,,
FITTING,PC33,#REF!,54,0,0,0,54,,27,,,,27,,,,0,,,,0,,,
FITTING,PC32,#REF!,54,0,0,0,54,,27,,,,27,,,,0,,,,0,,,
FITTING,CH76QS,#REF!,128,0,0,0,128,,64,,,,64,,,,0,,,,0,,,
FITTING,CH79F,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,C607,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
PIPE,PS-19,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,C107,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,C97,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,C344,#REF!,60,0,0,0,60,,30,,,,30,,,,0,,,,0,,,
FITTING,C98,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,C131,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,C896,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,CH22,#REF!,100,0,0,0,100,,100,,,,0,,,,0,,,,0,,,
FITTING,CH23,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,C109,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,CM25,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,C99,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,CM24,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
