item_code,colour,category,issued_demand
1961,WHITE,Accessorise,0
197,IVORY,Accessorise,0
197,WHITE,Accessorise,101.67
198,IVORY,Accessorise,0
198,WHITE,Accessorise,0.33
198-A,,Accessorise,0
199,IVORY,Accessorise,74
199,WHITE,Accessorise,479
200,IVORY,Accessorise,0
200,WHITE,Accessorise,593.67
200-A,,Accessorise,0
201,IVORY,Accessorise,0
201,WHITE,Accessorise,0
221,IVORY,Accessorise,0
221,WHITE,Accessorise,0
222,IVORY,Accessorise,0
222,WHITE,Accessorise,0
225,IVORY,Accessorise,0
225,WHITE,Accessorise,0
231,IVORY,Accessorise,0
231,WHITE,Accessorise,0
232,IVORY,Accessorise,0
232,WHITE,Accessorise,0
233,IVORY,Accessorise,0
233,WHITE,Accessorise,0
300,WHITE,Accessorise,0
301,IVORY,Accessorise,0
301,WHITE,Accessorise,0
302,IVORY,Accessorise,0
302,WHITE,Accessorise,0
311,GOLD,Accessorise,0
312,GOLD,Accessorise,0
313,GOLD,Accessorise,6.67
314,GOLD,Accessorise,0
315,GOLD,Accessorise,0
316,GOLD,Accessorise,10
331,IVORY,Accessorise,29.67
331,WHITE,Accessorise,439
332,IVORY,Accessorise,0
332,WHITE,Accessorise,0
333,IVORY,Accessorise,0
333,WHITE,Accessorise,0
334,IVORY,Accessorise,0
334,WHITE,Accessorise,0
335,IVORY,Accessorise,0
335,WHITE,Accessorise,0
336,IVORY,Accessorise,0
336,WHITE,Accessorise,0
337,IVORY,Accessorise,0
337,WHITE,Accessorise,0
492-W,,Accessorise,28.33
493-W,,Accessorise,321.67
552,IVORY,Accessorise,0
552,WHITE,Accessorise,0
571,IVORY,Accessorise,0
571,WHITE,Accessorise,32
572,IVORY,Accessorise,0
572,WHITE,Accessorise,19
575,IVORY,Accessorise,0
575,WHITE,Accessorise,0
BEA-44A,,Accessorise,0
BEA-47A,,Accessorise,0
BEA-47AB,,Accessorise,0
CB-02,IVORY,Accessorise,0
CB-02,WHITE,Accessorise,112.67
CF-01,IVORY,Accessorise,0
CF-01,WHITE,Accessorise,111.33
CF-03,,Accessorise,25
CF-03,IVORY,Accessorise,0
CF-03,WHITE,Accessorise,0
CH-01,WHITE,Accessorise,366.67
CNS-15,,Accessorise,70
CNS-20,,Accessorise,6.67
CS-01,IVORY,Accessorise,0
CS-01,WHITE,Accessorise,490
DB-01,IVORY,Accessorise,0
DB-01,WHITE,Accessorise,166.33
DB-02,IVORY,Accessorise,0
