id,run_id,cat_no,colour,qty
525,6,LF-153,,0
526,6,LF-154,,0
527,6,LF-156,,0
528,6,119,WHITE,0
529,6,LF-155,,0
530,6,123-DR,R BLUE,0
531,6,124-DR,R BLUE,0
532,6,186,WHITE,0
533,6,103,WHITE,0
534,6,105,WHITE,0
535,6,115,WHITE,0
536,6,120,WHITE,0
537,6,124,WHITE,0
538,6,129,WHITE,0
539,6,130,WHITE,0
540,6,132,WHITE,0
541,6,140,WHITE,0
542,6,141,WHITE,0
543,6,144,WHITE,0
544,6,147,WHITE,0
545,6,P-121,GREY,0
546,6,P-124,GREY,0
547,6,PS-121,GREY,0
548,6,PS-124,GREY,0
549,6,PS-144,GREY,0
550,6,121,WHITE,0
551,6,152,GOLD,0
552,6,153,GOLD,0
553,6,155,GOLD,0
554,6,187,WHITE,0
555,6,188,WHITE,0
556,6,189,WHITE,0
557,6,191,WHITE,0
558,6,195,WHITE,0
559,6,323,WHITE,0
560,6,324,WHITE,0
561,6,1391,WHITE,0
562,6,3272,WHITE,0
563,6,120-C,WHITE,0
564,6,120-M,WHITE,0
565,6,120-S,WHITE,0
566,6,120-W,WHITE,0
567,6,120-WS,WHITE,0
568,6,123-C,WHITE,0
569,6,124-C,WHITE,0
570,6,124-W,WHITE,0
571,6,125-S,WHITE,0
572,6,131,WHITE,0
573,6,132-C,WHITE,0
574,6,132-T,WHITE,0
575,6,144-C,WHITE,0
576,6,144-T,WHITE,0
577,6,147-SQ,WHITE,0
578,6,1491-C,WHITE,0
579,6,149-N,WHITE,0
580,6,1815-C,WHITE,0
581,6,181-C,WHITE,0
582,6,228-Q,WHITE,0
583,6,228-QT,WHITE,0
584,6,3272-B,WHITE,0
585,6,CF-01,WHITE,0
586,6,CF-03,WHITE,0
587,6,107,WHITE,0
588,6,156,GOLD,0
589,6,153-S,GOLD,0
590,6,184,WHITE,0
591,6,1375-A,WHITE,24
592,6,1375-HW,WINE,0
593,6,1375-S,WHITE,0
594,6,123-AF,WHITE,0
595,6,131-A,WHITE,0
596,6,LB-01,WHITE,0
597,6,143,WHITE,0
598,6,152,GOLD,0
599,6,513,PINK,20
600,6,183-W,WINE,0
601,6,187,WHITE,0
602,6,145,WHITE,0
603,6,121,WHITE,0
604,6,124,WHITE,0
605,6,123,WHITE,0
606,6,127,WHITE,0
607,6,181-C,WHITE,0
608,6,701,WHITE,0
